x,y
0.000000,0.000000
1.000000,0.000000
2.000000,0.000000
3.000000,0.000000
4.000000,0.000000
5.000000,0.000000
6.000000,0.000000
7.000000,0.000000
8.000000,0.000000
9.000000,0.000000
10.000000,0.000000
11.000000,0.000000
12.000000,0.000000
13.000000,0.000000
14.000000,0.000000
15.000000,0.000000
16.000000,0.000000
17.000000,0.000000
18.000000,0.000000
19.000000,0.000000
20.000000,0.000000
21.000000,0.000000
22.000000,0.000000
23.000000,0.000000
24.000000,0.000000
25.000000,0.000000
26.000000,0.000000
27.000000,0.000000
28.000000,0.000000
29.000000,0.000000
30.000000,0.000000
31.000000,0.000000
32.000000,0.000000
33.000000,0.000000
34.000000,0.000000
35.000000,0.000000
36.000000,0.000000
37.000000,0.000000
38.000000,0.000000
39.000000,0.000000
40.000000,0.000000
41.000000,0.000000
42.000000,0.000000
43.000000,0.000000
44.000000,0.000000
45.000000,0.000000
46.000000,0.000000
47.000000,0.000000
48.000000,0.000000
49.000000,0.000000
50.000000,0.000000
51.000000,0.000000
52.000000,0.000000
53.000000,0.000000
54.000000,0.000000
55.000000,0.000000
56.000000,0.000000
57.000000,0.000000
58.000000,827.400024
59.000000,827.400024
60.000000,827.500000
61.000000,828.100037
62.000000,828.700012
63.000000,828.899963
64.000000,829.100037
65.000000,829.299988
66.000000,829.500000
67.000000,829.599976
68.000000,829.700012
69.000000,829.799988
70.000000,830.000000
71.000000,830.099976
72.000000,830.200012
73.000000,830.200012
74.000000,830.299988
75.000000,830.299988
76.000000,830.399963
77.000000,830.399963
78.000000,830.500000
79.000000,830.399963
80.000000,830.399963
81.000000,830.699951
82.000000,830.900024
83.000000,831.000000
84.000000,831.000000
85.000000,831.000000
86.000000,831.000000
87.000000,830.900024
88.000000,830.799988
89.000000,830.699951
90.000000,830.600037
91.000000,830.699951
92.000000,830.900024
93.000000,831.099976
94.000000,831.300049
95.000000,831.399963
96.000000,831.500000
97.000000,831.600037
98.000000,831.600037
99.000000,831.500000
100.000000,831.399963
101.000000,831.600037
102.000000,831.700012
103.000000,831.600037
104.000000,831.600037
105.000000,831.500000
106.000000,831.399963
107.000000,831.600037
108.000000,831.700012
109.000000,832.000000
110.000000,832.099976
111.000000,832.099976
112.000000,832.000000
113.000000,831.799988
114.000000,831.700012
115.000000,831.600037
116.000000,831.500000
117.000000,831.399963
118.000000,831.200012
119.000000,830.699951
120.000000,830.200012
121.000000,830.399963
122.000000,830.500000
123.000000,830.699951
124.000000,830.799988
125.000000,830.799988
126.000000,830.600037
127.000000,830.200012
128.000000,829.799988
129.000000,829.400024
130.000000,829.000000
131.000000,828.800049
132.000000,828.500000
133.000000,828.000000
134.000000,827.500000
135.000000,827.000000
136.000000,826.500000
137.000000,826.099976
138.000000,825.799988
139.000000,825.200012
140.000000,824.700012
141.000000,824.799988
142.000000,824.899963
143.000000,824.899963
144.000000,824.899963
145.000000,824.899963
146.000000,825.000000
147.000000,825.000000
148.000000,825.000000
149.000000,824.799988
150.000000,824.599976
151.000000,824.299988
152.000000,823.899963
153.000000,823.700012
154.000000,823.500000
155.000000,823.500000
156.000000,823.500000
157.000000,823.599976
158.000000,823.700012
159.000000,823.700012
160.000000,823.800049
161.000000,824.100037
162.000000,824.400024
163.000000,824.199951
164.000000,824.100037
165.000000,823.800049
166.000000,823.500000
167.000000,823.700012
168.000000,824.000000
169.000000,824.500000
170.000000,825.000000
171.000000,825.099976
172.000000,825.200012
173.000000,825.200012
174.000000,825.200012
175.000000,825.200012
176.000000,825.200012
177.000000,825.200012
178.000000,825.200012
179.000000,824.799988
180.000000,824.400024
181.000000,824.700012
182.000000,825.000000
183.000000,825.099976
184.000000,825.200012
185.000000,825.500000
186.000000,825.799988
187.000000,826.000000
188.000000,826.300049
189.000000,826.399963
190.000000,826.500000
191.000000,826.799988
192.000000,827.099976
193.000000,827.200012
194.000000,827.299988
195.000000,827.099976
196.000000,826.799988
197.000000,826.600037
198.000000,826.399963
199.000000,826.099976
200.000000,825.700012
201.000000,825.600037
202.000000,825.600037
203.000000,825.400024
204.000000,825.200012
205.000000,825.099976
206.000000,824.899963
207.000000,824.799988
208.000000,824.599976
209.000000,824.400024
210.000000,824.299988
211.000000,824.199951
212.000000,824.000000
213.000000,823.800049
214.000000,823.599976
215.000000,823.599976
216.000000,823.500000
217.000000,823.599976
218.000000,823.599976
219.000000,823.500000
220.000000,823.500000
221.000000,823.700012
222.000000,823.899963
223.000000,824.100037
224.000000,824.299988
225.000000,824.299988
226.000000,824.400024
227.000000,824.400024
228.000000,824.500000
229.000000,824.599976
230.000000,824.700012
231.000000,824.799988
232.000000,824.799988
233.000000,824.899963
234.000000,824.899963
235.000000,824.799988
236.000000,824.700012
237.000000,824.500000
238.000000,824.400024
239.000000,824.199951
240.000000,824.100037
241.000000,824.100037
242.000000,824.199951
243.000000,824.299988
244.000000,824.400024
245.000000,824.700012
246.000000,824.899963
247.000000,825.099976
248.000000,825.299988
249.000000,825.600037
250.000000,825.900024
251.000000,826.200012
252.000000,826.399963
253.000000,826.600037
254.000000,826.699951
255.000000,826.900024
256.000000,827.099976
257.000000,827.200012
258.000000,827.400024
259.000000,827.200012
260.000000,826.900024
261.000000,826.900024
