x,y
0.0,0.0
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,0.0
13.0,0.0
14.0,0.0
15.0,0.0
16.0,0.0
17.0,0.0
18.0,0.0
19.0,0.0
20.0,0.0
21.0,0.0
22.0,0.0
23.0,0.0
24.0,0.0
25.0,0.0
26.0,0.0
27.0,0.0
28.0,0.0
29.0,0.0
30.0,0.0
31.0,0.0
32.0,0.0
33.0,0.0
34.0,0.0
35.0,0.0
36.0,0.0
37.0,0.0
38.0,0.0
39.0,0.0
40.0,0.0
41.0,0.0
42.0,0.0
43.0,0.0
44.0,0.0
45.0,0.0
46.0,0.0
47.0,0.0
48.0,0.0
49.0,0.0
50.0,0.0
51.0,0.0
52.0,0.0
53.0,0.0
54.0,0.0
55.0,0.0
56.0,0.0
57.0,0.0
58.0,827.4
59.0,827.4
60.0,827.5
61.0,828.1
62.0,828.7
63.0,828.9
64.0,829.1
65.0,829.3
66.0,829.5
67.0,829.6
68.0,829.7
69.0,829.8
70.0,830.0
71.0,830.1
72.0,830.2
73.0,830.2
74.0,830.3
75.0,830.3
76.0,830.4
77.0,830.4
78.0,830.5
79.0,830.4
80.0,830.4
81.0,830.7
82.0,830.9
83.0,831.0
84.0,831.0
85.0,831.0
86.0,831.0
87.0,830.9
88.0,830.8
89.0,830.7
90.0,830.6
91.0,830.7
92.0,830.9
93.0,831.1
94.0,831.3
95.0,831.4
96.0,831.5
97.0,831.6
98.0,831.6
99.0,831.5
100.0,831.4
101.0,831.6
102.0,831.7
103.0,831.6
104.0,831.6
105.0,831.5
106.0,831.4
107.0,831.6
108.0,831.7
109.0,832.0
110.0,832.1
111.0,832.1
112.0,832.0
113.0,831.8
114.0,831.7
115.0,831.6
116.0,831.5
117.0,831.4
118.0,831.2
119.0,830.7
120.0,830.2
121.0,830.4
122.0,830.5
123.0,830.7
124.0,830.8
125.0,830.8
126.0,830.6
127.0,830.2
128.0,829.8
129.0,829.4
130.0,829.0
131.0,828.8
132.0,828.5
133.0,828.0
134.0,827.5
135.0,827.0
136.0,826.5
137.0,826.1
138.0,825.8
139.0,825.2
140.0,824.7
141.0,824.8
142.0,824.9
143.0,824.9
144.0,824.9
145.0,824.9
146.0,825.0
147.0,825.0
148.0,825.0
149.0,824.8
150.0,824.6
151.0,824.3
152.0,823.9
153.0,823.7
154.0,823.5
155.0,823.5
156.0,823.5
157.0,823.6
158.0,823.7
159.0,823.7
160.0,823.8
161.0,824.1
162.0,824.4
163.0,824.2
164.0,824.1
165.0,823.8
166.0,823.5
167.0,823.7
168.0,824.0
169.0,824.5
170.0,825.0
171.0,825.1
172.0,825.2
173.0,825.2
174.0,825.2
175.0,825.2
176.0,825.2
177.0,825.2
178.0,825.2
179.0,824.8
180.0,824.4
181.0,824.7
182.0,825.0
183.0,825.1
184.0,825.2
185.0,825.5
186.0,825.8
187.0,826.0
188.0,826.3
189.0,826.4
190.0,826.5
191.0,826.8
192.0,827.1
193.0,827.2
194.0,827.3
195.0,827.1
196.0,826.8
197.0,826.6
198.0,826.4
199.0,826.1
200.0,825.7
201.0,825.6
202.0,825.6
203.0,825.4
204.0,825.2
205.0,825.1
206.0,824.9
207.0,824.8
208.0,824.6
209.0,824.4
210.0,824.3
211.0,824.2
212.0,824.0
213.0,823.8
214.0,823.6
215.0,823.6
216.0,823.5
217.0,823.6
218.0,823.6
219.0,823.5
220.0,823.5
221.0,823.7
222.0,823.9
223.0,824.1
224.0,824.3
225.0,824.3
226.0,824.4
227.0,824.4
228.0,824.5
229.0,824.6
230.0,824.7
231.0,824.8
232.0,824.8
233.0,824.9
234.0,824.9
